T,M,Time
1,1,0.424532
1,10,16.048472
1,20,30.188647
1,30,44.161533
1,40,50.329595
1,50,60.617236
1,100,60.615986
10,1,0.260376
10,10,2.074634
10,20,3.589251
10,30,4.942057
10,40,5.554692
10,50,6.587440
10,100,6.577719
20,1,0.263523
20,10,1.293795
20,20,2.083224
20,30,2.706506
20,40,3.113221
20,50,3.670793
20,100,3.656237
