T,M,Time
1,1,0.009697
1,10,0.025988
1,20,0.013094
1,30,0.036838
1,40,0.040773
1,50,0.045183
1,100,0.069785
10,1,0.092736
10,10,0.002788
10,20,0.103639
10,30,0.001896
10,40,0.012623
10,50,0.011098
10,100,0.004937
20,1,0.105660
20,10,0.010717
20,20,0.006629
20,30,0.010405
20,40,0.021055
20,50,0.074522
20,100,0.084147
